WEEK_YEAR_KEY,WEEK_KEY,WEEK_YEAR_SHORT_DES,MONTH_YEAR_KEY,MONTH_KEY,MONTH_YEAR_SHORT_DES,YEAR_WEEK_KEY,LOAD_TIME
190216,16,1902W16,190204,4,Apr 1902,1902,
190217,17,1902W17,190204,4,Apr 1902,1902,
190218,18,1902W18,190204,4,Apr 1902,1902,
190219,19,1902W19,190205,5,May 1902,1902,
190220,20,1902W20,190205,5,May 1902,1902,
190221,21,1902W21,190205,5,May 1902,1902,
190222,22,1902W22,190205,5,May 1902,1902,
190223,23,1902W23,190206,6,Jun 1902,1902,
190224,24,1902W24,190206,6,Jun 1902,1902,
190225,25,1902W25,190206,6,Jun 1902,1902,
190226,26,1902W26,190206,6,Jun 1902,1902,
190227,27,1902W27,190206,6,Jun 1902,1902,
190228,28,1902W28,190207,7,Jul 1902,1902,
190229,29,1902W29,190207,7,Jul 1902,1902,
190230,30,1902W30,190207,7,Jul 1902,1902,
190231,31,1902W31,190207,7,Jul 1902,1902,
190232,32,1902W32,190208,8,Aug 1902,1902,
190233,33,1902W33,190208,8,Aug 1902,1902,
190234,34,1902W34,190208,8,Aug 1902,1902,
190235,35,1902W35,190208,8,Aug 1902,1902,
190236,36,1902W36,190209,9,Sep 1902,1902,
190237,37,1902W37,190209,9,Sep 1902,1902,
190238,38,1902W38,190209,9,Sep 1902,1902,
190239,39,1902W39,190209,9,Sep 1902,1902,
190240,40,1902W40,190209,9,Sep 1902,1902,
190241,41,1902W41,190210,10,Oct 1902,1902,
190242,42,1902W42,190210,10,Oct 1902,1902,
190243,43,1902W43,190210,10,Oct 1902,1902,
190244,44,1902W44,190210,10,Oct 1902,1902,
190245,45,1902W45,190211,11,Nov 1902,1902,
190246,46,1902W46,190211,11,Nov 1902,1902,
190247,47,1902W47,190211,11,Nov 1902,1902,
190248,48,1902W48,190211,11,Nov 1902,1902,
190249,49,1902W49,190212,12,Dec 1902,1902,
190250,50,1902W50,190212,12,Dec 1902,1902,
190251,51,1902W51,190212,12,Dec 1902,1902,
190252,52,1902W52,190212,12,Dec 1902,1902,
190301,1,1903W01,190212,12,Dec 1902,1903,
190302,2,1903W02,190301,1,Jan 1903,1903,
190303,3,1903W03,190301,1,Jan 1903,1903,
190304,4,1903W04,190301,1,Jan 1903,1903,
190305,5,1903W05,190301,1,Jan 1903,1903,
190306,6,1903W06,190302,2,Feb 1903,1903,
190307,7,1903W07,190302,2,Feb 1903,1903,
190308,8,1903W08,190302,2,Feb 1903,1903,
190309,9,1903W09,190302,2,Feb 1903,1903,
190310,10,1903W10,190303,3,Mar 1903,1903,
190311,11,1903W11,190303,3,Mar 1903,1903,
190312,12,1903W12,190303,3,Mar 1903,1903,
190313,13,1903W13,190303,3,Mar 1903,1903,
190314,14,1903W14,190303,3,Mar 1903,1903,
190315,15,1903W15,190304,4,Apr 1903,1903,
190316,16,1903W16,190304,4,Apr 1903,1903,
190317,17,1903W17,190304,4,Apr 1903,1903,
190318,18,1903W18,190304,4,Apr 1903,1903,
190319,19,1903W19,190305,5,May 1903,1903,
190320,20,1903W20,190305,5,May 1903,1903,
190321,21,1903W21,190305,5,May 1903,1903,
190322,22,1903W22,190305,5,May 1903,1903,
190323,23,1903W23,190306,6,Jun 1903,1903,
190324,24,1903W24,190306,6,Jun 1903,1903,
190325,25,1903W25,190306,6,Jun 1903,1903,
190326,26,1903W26,190306,6,Jun 1903,1903,
190327,27,1903W27,190306,6,Jun 1903,1903,
190328,28,1903W28,190307,7,Jul 1903,1903,
190329,29,1903W29,190307,7,Jul 1903,1903,
190330,30,1903W30,190307,7,Jul 1903,1903,
190331,31,1903W31,190307,7,Jul 1903,1903,
190332,32,1903W32,190308,8,Aug 1903,1903,
190333,33,1903W33,190308,8,Aug 1903,1903,
190334,34,1903W34,190308,8,Aug 1903,1903,
190335,35,1903W35,190308,8,Aug 1903,1903,
190336,36,1903W36,190308,8,Aug 1903,1903,
190337,37,1903W37,190309,9,Sep 1903,1903,
190338,38,1903W38,190309,9,Sep 1903,1903,
190339,39,1903W39,190309,9,Sep 1903,1903,
190340,40,1903W40,190309,9,Sep 1903,1903,
190341,41,1903W41,190310,10,Oct 1903,1903,
190342,42,1903W42,190310,10,Oct 1903,1903,
190343,43,1903W43,190310,10,Oct 1903,1903,
190344,44,1903W44,190310,10,Oct 1903,1903,
190345,45,1903W45,190311,11,Nov 1903,1903,
190346,46,1903W46,190311,11,Nov 1903,1903,
190347,47,1903W47,190311,11,Nov 1903,1903,
190348,48,1903W48,190311,11,Nov 1903,1903,
190349,49,1903W49,190311,11,Nov 1903,1903,
190350,50,1903W50,190312,12,Dec 1903,1903,
190351,51,1903W51,190312,12,Dec 1903,1903,
190352,52,1903W52,190312,12,Dec 1903,1903,
190353,53,1903W53,190312,12,Dec 1903,1903,
190401,1,1904W01,190401,1,Jan 1904,1904,
190402,2,1904W02,190401,1,Jan 1904,1904,
190403,3,1904W03,190401,1,Jan 1904,1904,
190404,4,1904W04,190401,1,Jan 1904,1904,
190405,5,1904W05,190402,2,Feb 1904,1904,
190406,6,1904W06,190402,2,Feb 1904,1904,
190407,7,1904W07,190402,2,Feb 1904,1904,
190408,8,1904W08,190402,2,Feb 1904,1904,
190409,9,1904W09,190402,2,Feb 1904,1904,
190410,10,1904W10,190403,3,Mar 1904,1904,
190411,11,1904W11,190403,3,Mar 1904,1904,
190412,12,1904W12,190403,3,Mar 1904,1904,
190413,13,1904W13,190403,3,Mar 1904,1904,
190414,14,1904W14,190404,4,Apr 1904,1904,
190415,15,1904W15,190404,4,Apr 1904,1904,
190416,16,1904W16,190404,4,Apr 1904,1904,
190417,17,1904W17,190404,4,Apr 1904,1904,
190418,18,1904W18,190405,5,May 1904,1904,
190419,19,1904W19,190405,5,May 1904,1904,
190420,20,1904W20,190405,5,May 1904,1904,
190421,21,1904W21,190405,5,May 1904,1904,
190422,22,1904W22,190405,5,May 1904,1904,
190423,23,1904W23,190406,6,Jun 1904,1904,
190424,24,1904W24,190406,6,Jun 1904,1904,
190425,25,1904W25,190406,6,Jun 1904,1904,
190426,26,1904W26,190406,6,Jun 1904,1904,
190427,27,1904W27,190407,7,Jul 1904,1904,
190428,28,1904W28,190407,7,Jul 1904,1904,
190429,29,1904W29,190407,7,Jul 1904,1904,
190430,30,1904W30,190407,7,Jul 1904,1904,
190431,31,1904W31,190408,8,Aug 1904,1904,
190432,32,1904W32,190408,8,Aug 1904,1904,
190433,33,1904W33,190408,8,Aug 1904,1904,
190434,34,1904W34,190408,8,Aug 1904,1904,
190435,35,1904W35,190408,8,Aug 1904,1904,
190436,36,1904W36,190409,9,Sep 1904,1904,
190437,37,1904W37,190409,9,Sep 1904,1904,
190438,38,1904W38,190409,9,Sep 1904,1904,
190439,39,1904W39,190409,9,Sep 1904,1904,
190440,40,1904W40,190410,10,Oct 1904,1904,
190441,41,1904W41,190410,10,Oct 1904,1904,
190442,42,1904W42,190410,10,Oct 1904,1904,
190443,43,1904W43,190410,10,Oct 1904,1904,
190444,44,1904W44,190410,10,Oct 1904,1904,
190445,45,1904W45,190411,11,Nov 1904,1904,
190446,46,1904W46,190411,11,Nov 1904,1904,
190447,47,1904W47,190411,11,Nov 1904,1904,
190448,48,1904W48,190411,11,Nov 1904,1904,
190449,49,1904W49,190412,12,Dec 1904,1904,
190450,50,1904W50,190412,12,Dec 1904,1904,
190451,51,1904W51,190412,12,Dec 1904,1904,
190452,52,1904W52,190412,12,Dec 1904,1904,
190501,1,1905W01,190501,1,Jan 1905,1905,
190502,2,1905W02,190501,1,Jan 1905,1905,
190503,3,1905W03,190501,1,Jan 1905,1905,
190504,4,1905W04,190501,1,Jan 1905,1905,
190505,5,1905W05,190501,1,Jan 1905,1905,
190506,6,1905W06,190502,2,Feb 1905,1905,
190507,7,1905W07,190502,2,Feb 1905,1905,
190508,8,1905W08,190502,2,Feb 1905,1905,
190509,9,1905W09,190502,2,Feb 1905,1905,
190510,10,1905W10,190503,3,Mar 1905,1905,
190511,11,1905W11,190503,3,Mar 1905,1905,
